tweet_id,tweet_text,created_date,location,sentiment
1001,It is okay,2024-01-04,Hyderabad,Neutral
1002,Very bad experience,2024-01-30,Bangalore,Negative
1003,Not worth the money,2024-01-30,Chennai,Negative
1004,Totally disappointed,2024-01-24,Madurai,Negative
1005,Very bad experience,2024-01-14,Chennai,Negative
1006,Totally disappointed,2024-01-05,Hyderabad,Negative
1007,Very bad experience,2024-01-19,Coimbatore,Negative
1008,Very happy with the experience,2024-01-02,Madurai,Positive
1009,Very happy with the experience,2024-01-31,Chennai,Positive
1010,Amazing service,2024-01-24,Mumbai,Positive
1011,Excellent quality,2024-01-10,Chennai,Positive
1012,Nothing special,2024-01-11,Mumbai,Neutral
1013,Nothing special,2024-01-19,Mumbai,Neutral
1014,Extremely unhappy,2024-01-26,Mumbai,Negative
1015,Neither good nor bad,2024-01-01,Chennai,Neutral
1016,Amazing service,2024-01-22,Madurai,Positive
1017,Not worth the money,2024-01-02,Bangalore,Negative
1018,I love this product,2024-01-23,Delhi,Positive
1019,Excellent quality,2024-01-06,Hyderabad,Positive
1020,Extremely unhappy,2024-01-08,Chennai,Negative
1021,Amazing service,2024-01-19,Coimbatore,Positive
1022,Extremely unhappy,2024-01-17,Madurai,Negative
1023,Nothing special,2024-01-28,Bangalore,Neutral
1024,I love this product,2024-01-19,Coimbatore,Positive
1025,Amazing service,2024-01-08,Delhi,Positive
1026,Excellent quality,2024-01-10,Coimbatore,Positive
1027,Totally disappointed,2024-01-22,Mumbai,Negative
1028,Worst service ever,2024-01-04,Hyderabad,Negative
1029,Neither good nor bad,2024-01-27,Delhi,Neutral
1030,Just fine,2024-01-07,Coimbatore,Neutral
1031,I love this product,2024-01-16,Coimbatore,Positive
1032,Worst service ever,2024-01-14,Bangalore,Negative
1033,Just fine,2024-01-26,Delhi,Neutral
1034,Highly recommended,2024-01-30,Hyderabad,Positive
1035,Excellent quality,2024-01-21,Bangalore,Positive
1036,Average experience,2024-01-15,Coimbatore,Neutral
1037,It is okay,2024-01-08,Hyderabad,Neutral
1038,Average experience,2024-01-04,Madurai,Neutral
1039,Just fine,2024-01-07,Delhi,Neutral
1040,Average experience,2024-01-22,Chennai,Neutral
1041,Just fine,2024-01-27,Coimbatore,Neutral
1042,It is okay,2024-01-21,Hyderabad,Neutral
1043,It is okay,2024-01-05,Madurai,Neutral
1044,Amazing service,2024-01-31,Madurai,Positive
1045,Very bad experience,2024-01-16,Delhi,Negative
1046,Just fine,2024-01-13,Chennai,Neutral
1047,I love this product,2024-01-13,Delhi,Positive
1048,It is okay,2024-01-06,Delhi,Neutral
1049,Not worth the money,2024-01-31,Chennai,Negative
1050,Nothing special,2024-01-02,Mumbai,Neutral
1051,I love this product,2024-01-11,Bangalore,Positive
1052,Totally disappointed,2024-01-14,Delhi,Negative
1053,Extremely unhappy,2024-01-07,Delhi,Negative
1054,Just fine,2024-01-20,Chennai,Neutral
1055,It is okay,2024-01-14,Madurai,Neutral
1056,Not worth the money,2024-01-28,Madurai,Negative
1057,Nothing special,2024-01-21,Chennai,Neutral
1058,Neither good nor bad,2024-01-25,Bangalore,Neutral
1059,Average experience,2024-01-26,Madurai,Neutral
1060,Very happy with the experience,2024-01-02,Mumbai,Positive
1061,I love this product,2024-01-05,Coimbatore,Positive
1062,Amazing service,2024-01-13,Madurai,Positive
1063,Neither good nor bad,2024-01-30,Chennai,Neutral
1064,Very happy with the experience,2024-01-05,Bangalore,Positive
1065,Highly recommended,2024-01-11,Coimbatore,Positive
1066,It is okay,2024-01-29,Madurai,Neutral
1067,Average experience,2024-01-27,Madurai,Neutral
1068,It is okay,2024-01-06,Bangalore,Neutral
1069,Totally disappointed,2024-01-13,Hyderabad,Negative
1070,Excellent quality,2024-01-31,Madurai,Positive
1071,Neither good nor bad,2024-01-22,Hyderabad,Neutral
1072,Extremely unhappy,2024-01-30,Madurai,Negative
1073,Very bad experience,2024-01-07,Delhi,Negative
1074,Very happy with the experience,2024-01-19,Mumbai,Positive
1075,Nothing special,2024-01-09,Bangalore,Neutral
1076,It is okay,2024-01-24,Delhi,Neutral
1077,Extremely unhappy,2024-01-25,Coimbatore,Negative
1078,Excellent quality,2024-01-15,Coimbatore,Positive
1079,Just fine,2024-01-14,Coimbatore,Neutral
1080,Average experience,2024-01-03,Chennai,Neutral
1081,Not worth the money,2024-01-01,Mumbai,Negative
1082,Average experience,2024-01-09,Madurai,Neutral
1083,Very bad experience,2024-01-23,Chennai,Negative
1084,Nothing special,2024-01-28,Madurai,Neutral
1085,Neither good nor bad,2024-01-02,Coimbatore,Neutral
1086,Just fine,2024-01-01,Bangalore,Neutral
1087,Nothing special,2024-01-18,Delhi,Neutral
1088,Very bad experience,2024-01-06,Madurai,Negative
1089,Very bad experience,2024-01-08,Madurai,Negative
1090,Totally disappointed,2024-01-23,Hyderabad,Negative
1091,Average experience,2024-01-12,Madurai,Neutral
